1.16	0.162993	-0.163092	0.316994	0.01
1.17	0.163462	-0.162715	0.316868	0.01
1.18	0.16393	-0.162337	0.316741	0.01
1.19	0.164396	-0.161958	0.316615	0.01
1.2	0.164861	-0.161578	0.316489	0.01
1.21	0.165324	-0.161198	0.316362	0.01
1.22	0.165786	-0.160816	0.316236	0.01
1.23	0.166247	-0.160434	0.316109	0.01
1.24	0.166707	-0.160051	0.315983	0.01
1.25	0.167166	-0.159667	0.315856	0.01
1.26	0.167623	-0.159282	0.315729	0.01
1.27	0.168079	-0.158896	0.315602	0.01
1.28	0.168533	-0.158509	0.315475	0.01
1.29	0.168986	-0.158122	0.315349	0.01
1.3	0.169438	-0.157733	0.315222	0.01
1.31	0.169889	-0.157344	0.315095	0.01
1.32	0.170338	-0.156954	0.314968	0.01
1.33	0.170786	-0.156563	0.314841	0.01
1.34	0.171233	-0.156171	0.314714	0.01
1.35	0.171678	-0.155779	0.314587	0.01
1.36	0.172122	-0.155385	0.31446	0.01
1.37	0.172565	-0.154991	0.314333	0.01
1.38	0.173007	-0.154596	0.314205	0.01
1.39	0.173447	-0.1542	0.314078	0.01
1.4	0.173886	-0.153804	0.313951	0.01
1.41	0.174323	-0.153406	0.313824	0.01
1.42	0.174759	-0.153008	0.313697	0.01
1.43	0.175194	-0.152609	0.31357	0.01
1.44	0.175628	-0.152209	0.313443	0.01
1.45	0.17606	-0.151808	0.313316	0.01
1.46	0.176491	-0.151407	0.313189	0.01
1.47	0.17692	-0.151004	0.313062	0.01
1.48	0.177348	-0.150601	0.312936	0.01
1.49	0.177775	-0.150198	0.312809	0.01
1.5	0.178201	-0.149793	0.312682	0.01
1.51	0.178625	-0.149388	0.312555	0.01
1.52	0.179048	-0.148982	0.312429	0.01
1.53	0.17947	-0.148575	0.312302	0.01
1.54	0.17989	-0.148167	0.312175	0.01
1.55	0.180309	-0.147759	0.312049	0.01
1.56	0.180726	-0.147349	0.311923	0.01
1.57	0.181143	-0.146939	0.311796	0.01
1.58	0.181558	-0.146529	0.31167	0.01
1.59	0.181971	-0.146117	0.311544	0.01
1.6	0.182383	-0.145705	0.311418	0.01
1.61	0.182794	-0.145292	0.311292	0.01
1.62	0.183204	-0.144879	0.311166	0.01
1.63	0.183612	-0.144464	0.31104	0.01
1.64	0.184019	-0.144049	0.310914	0.01
1.65	0.184424	-0.143634	0.310789	0.01
1.66	0.184828	-0.143217	0.310663	0.01
1.67	0.185231	-0.1428	0.310538	0.01
1.68	0.185633	-0.142382	0.310413	0.01
1.69	0.186033	-0.141963	0.310287	0.01
1.7	0.186431	-0.141544	0.310162	0.01
1.71	0.186829	-0.141124	0.310038	0.01
1.72	0.187225	-0.140703	0.309913	0.01
1.73	0.18762	-0.140282	0.309788	0.01
1.74	0.188013	-0.139859	0.309664	0.01
1.75	0.188405	-0.139437	0.309539	0.01
1.76	0.188796	-0.139013	0.309415	0.01
1.77	0.189185	-0.138589	0.309291	0.01
1.78	0.189573	-0.138164	0.309167	0.01
1.79	0.189959	-0.137738	0.309044	0.01
1.8	0.190344	-0.137312	0.30892	0.01
1.81	0.190728	-0.136885	0.308797	0.01
1.82	0.191111	-0.136458	0.308674	0.01
1.83	0.191492	-0.13603	0.308551	0.01
1.84	0.191872	-0.135601	0.308428	0.01
1.85	0.19225	-0.135171	0.308305	0.01
1.86	0.192627	-0.134741	0.308183	0.01
1.87	0.193003	-0.13431	0.30806	0.01
1.88	0.193377	-0.133879	0.307938	0.01
1.89	0.19375	-0.133447	0.307816	0.01
1.9	0.194121	-0.133014	0.307695	0.01
1.91	0.194492	-0.13258	0.307573	0.01
1.92	0.19486	-0.132146	0.307452	0.01
1.93	0.195228	-0.131712	0.307331	0.01
1.94	0.195594	-0.131277	0.30721	0.01
1.95	0.195959	-0.130841	0.30709	0.01
1.96	0.196322	-0.130404	0.306969	0.01
1.97	0.196684	-0.129967	0.306849	0.01
1.98	0.197045	-0.129529	0.306729	0.01
1.99	0.197404	-0.129091	0.306609	0.01
2	0.197762	-0.128652	0.30649	0.01
2.01	0.198118	-0.128213	0.306371	0.01
2.02	0.198474	-0.127772	0.306252	0.01
2.03	0.198827	-0.127332	0.306133	0.01
2.04	0.19918	-0.12689	0.306015	0.01
2.05	0.199531	-0.126449	0.305897	0.01
2.06	0.19988	-0.126006	0.305779	0.01
2.07	0.200229	-0.125563	0.305661	0.01
2.08	0.200576	-0.125119	0.305544	0.01
